solver_ability,solver_se,solver_model_raw,model_key,judge_ability,judge_se,judge_model_raw,model,solver_rank,judge_rank
-1.012,0.173,Haiku 4.5,claude_haiku_4_5,0.597,0.014,Haiku 4.5,Claude Haiku 4.5,1.0,3.0
-2.936,0.152,Qwen 27B,qwen35_27b,0.738,0.001,Qwen 27B,Qwen3.5 27B,2.0,2.0
-3.492,0.142,Mistral 14B,mistral_14b,0.247,0.02,Mistral 14B,Mistral 14B,3.0,7.0
-3.775,0.141,Mistral 8B,mistral_8b,0.298,0.006,Mistral 8B,Mistral 8B,4.0,6.0
-4.705,0.382,Mistral 3B,mistral_3b,0.033,0.003,Mistral 3B,Mistral 3B,5.0,8.0
-6.279,0.243,Qwen 9B,qwen35_9b,0.596,0.006,Qwen 9B,Qwen3.5 9B,6.0,4.0
-6.903,0.215,Qwen 4B,qwen35_4b,0.818,0.017,Qwen 4B,Qwen3.5 4B,7.0,1.0
-7.497,0.191,Qwen 2B,qwen35_2b,0.567,0.002,Qwen 2B,Qwen3.5 2B,8.0,5.0
-9.352,0.141,Qwen 0.8B,qwen35_08b,-0.164,0.013,Qwen 0.8B,Qwen3.5 0.8B,9.0,9.0
