model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank,1pl_regular_se,1pl_regular_lo,1pl_regular_hi,2pl_regular_se,2pl_regular_lo,2pl_regular_hi,3pl_regular_se,3pl_regular_lo,3pl_regular_hi
claude_haiku_4_5,0.4171597633136095,676,-1.0124049,1.4911358,-0.35635233,0.89860755,-0.44788772,0.8431543,1,1,1,1,1,1,0.17274465,-1.3509845,-0.6738254,0.066568896,-0.48682737,-0.22587729,0.06850691,-0.58216125,-0.3136142
qwen3_5_27b,0.2943786982248521,676,-2.9363554,0.95164937,-0.87500244,0.48775017,-1.0210096,0.4485052,2,2,2,2,3,2,0.15177609,-3.2338364,-2.6388743,0.02689109,-0.927709,-0.8222959,0.040065385,-1.0995377,-0.9424814
mistral_14b,0.2529585798816568,676,-3.4916327,0.7429664,-0.9358939,0.33722717,-1.0092616,0.3042479,3,3,3,3,2,3,0.14174442,-3.7694519,-3.2138135,0.006887216,-0.94939286,-0.92239493,0.011773448,-1.0323375,-0.98618567
mistral_8b,0.23224852071005916,676,-3.7750518,0.630203,-0.9577254,0.26490843,-1.0764289,0.22985435,4,4,4,4,4,4,0.14063035,-4.0506873,-3.4994164,0.004692846,-0.96692336,-0.94852746,0.0036921017,-1.0836654,-1.0691924
mistral_3b,0.16715976331360946,676,-4.7049646,0.21996921,-1.1235745,0.010872543,-1.279403,-0.007492721,5,5,5,5,5,5,0.38181612,-5.4533243,-3.956605,0.17113082,-1.4589909,-0.78815806,0.48624718,-2.2324474,-0.3263585
qwen3_5_9b,0.08431952662721894,676,-6.2786994,-0.5591923,-1.7411606,-0.3450246,-2.1210988,-0.31792504,6,6,6,6,7,6,0.24295425,-6.75489,-5.802509,0.075390324,-1.8889257,-1.5933956,0.1674219,-2.4492457,-1.7929518
qwen3_5_4b,0.060650887573964495,676,-6.9026837,-0.91419184,-2.0665975,-0.4503069,-2.1043575,-0.41077983,7,7,7,7,6,7,0.21517527,-7.324427,-6.4809403,0.06885628,-2.2015557,-1.9316392,0.012496139,-2.12885,-2.079865
qwen3_5_2b,0.04437869822485207,676,-7.496924,-1.2437406,-2.3182206,-0.52605087,-2.5740547,-0.47863764,8,8,8,8,8,8,0.19133043,-7.8719316,-7.1219163,0.07649076,-2.4681425,-2.1682987,0.016427629,-2.606253,-2.5418565
qwen3_5_0_8b,0.013313609467455622,676,-9.351912,-1.318799,-2.8814926,-0.67798334,-3.5775228,-0.61092657,9,9,9,9,9,9,0.14118165,-9.628628,-9.075195,0.01029942,-2.9016795,-2.8613057,0.0029257003,-3.5832572,-3.5717883
