domain,role,selected_k,selection_metric,heldout_loss,heldout_auc,heldout_brier,heldout_ece,heldout_beta_nll,heldout_mse,heldout_pearson
kudge,solver,1,heldout_loss,0.9203478693962096,0.7357508532423208,0.181749552488327,0.1219202246592515,,,
kudge,judge,1,heldout_loss,0.9832897782325744,0.6488356164383562,0.220864787697792,0.1482908026746481,,,
mmlu,solver,1,heldout_loss,1.7460484504699707,0.7399145299145299,0.2624824643135071,0.2068700008333989,,,
mmlu,judge,1,heldout_loss,0.9731336832046508,0.7785990338164251,0.1658878773450851,0.1237250989665511,,,
safety,solver,1,heldout_loss,0.4315674901008606,0.8992566118656183,0.0753485187888145,0.0555755361799214,,,
safety,judge,2,heldout_loss,8.517306327819824,,,,8.517306327819824,0.140016421675682,0.6402106285095215
code,solver,1,heldout_loss,0.4245661497116089,0.8528292682926829,0.0736301094293594,0.0497512654443451,,,
code,judge,1,heldout_loss,1.057814598083496,0.8069311926605505,0.1748313754796981,0.1301750473440522,,,
