fit,likelihood_type,log_likelihood,n_parameters,n_observed,bic_n,aic,bic
1pl_regular,conditional_bernoulli,-10859.2119140625,2112,18835,18835,25942.423828125,42507.83694583141
1pl_item_marginal_mmle,item_marginal_bernoulli,-13617.2119140625,9,18835,2103,27252.423828125,27303.283909706326
2pl_regular,conditional_bernoulli,-7646.1328125,4215,18835,18835,23722.265625,56782.50061133169
3pl_regular,conditional_bernoulli,-6983.06298828125,6318,18835,18835,26602.1259765625,76157.18283151946
