model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,3pl_regular,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,3pl_regular_rank,1pl_regular_se,1pl_regular_lo,1pl_regular_hi,2pl_regular_se,2pl_regular_lo,2pl_regular_hi,3pl_regular_se,3pl_regular_lo,3pl_regular_hi
qwen3_5_27b,0.6490727532097005,2103,0.7802626,0.29511678,0.73833317,-0.121943936,1,1,2,1,0.05002552,0.6822126,0.8783126,0.0012347741,0.735913,0.74075335,0.0042903656,-0.13035305,-0.11353482
claude_haiku_4_5,0.6457441749881122,2103,0.7624816,0.28053463,0.59653044,-0.37044895,2,2,3,5,0.049176235,0.66609615,0.858867,0.013871346,0.5693426,0.62371826,0.09430133,-0.55527955,-0.18561834
qwen3_5_9b,0.6153114598193058,2103,0.60507107,0.1498453,0.59558135,-0.31360063,3,3,4,3,0.04891708,0.5091936,0.70094854,0.006048078,0.5837271,0.6074356,0.00624821,-0.32584712,-0.30135414
mistral_8b,0.5915157292659676,2098,0.48319635,0.050385773,0.2984721,-0.7569553,4,4,6,6,0.04905478,0.387049,0.57934374,0.0060975174,0.28652096,0.31042325,0.0074693104,-0.7715952,-0.7423155
mistral_14b,0.5885741718674988,2083,0.4704926,0.038225293,0.2473984,-0.8039331,5,5,7,7,0.048315804,0.37579364,0.56519157,0.020294184,0.20762181,0.287175,0.15396872,-1.1057118,-0.50215435
mistral_3b,0.5541932319764591,2039,0.3058237,-0.10222155,0.03254596,-1.4533601,6,6,8,8,0.048345346,0.21106684,0.40058059,0.0034617817,0.025760869,0.039331052,0.0027192524,-1.4586898,-1.4480304
qwen3_5_4b,0.5240133143128863,2103,0.14850184,-0.22372198,0.8178639,-0.12386723,7,7,1,2,0.048324984,0.053784877,0.24321881,0.017207187,0.7841378,0.85159,0.00089862035,-0.12562853,-0.122105934
qwen3_5_2b,0.52,2100,0.12990038,-0.23980677,0.56682175,-0.3319734,8,8,5,4,0.049308714,0.0332553,0.22654545,0.002201827,0.5625062,0.5711373,0.0033763233,-0.338591,-0.3253558
qwen3_5_0_8b,0.5178316690442225,2103,0.11952036,-0.24835753,-0.16402128,-2.8065526,9,9,9,9,0.05011913,0.02128686,0.21775386,0.0130234,-0.18954715,-0.13849542,0.0007360324,-2.8079953,-2.80511
