model,factor_1,factor_2
claude_haiku_4_5,0.16261958,-0.2530274
mistral_3b,4.7923684,1.9943366
mistral_8b,12.464738,-2.7596865
mistral_14b,4.6534743,-0.2925665
qwen3_5_0_8b,4.368012,4.1091256
qwen3_5_2b,0.1249032,-9.064817
qwen3_5_4b,-4.0610228,-4.9227705
qwen3_5_9b,-0.42322198,-1.5844017
qwen3_5_27b,-1.3094044,-0.69433165
