solver_item_id,solver_subset,solver_difficulty_centered,judge_difficulty_centered,kudge_split,solver_difficulty_percentile,judge_difficulty_percentile
730,Korean-Hard,11.461952209472656,3.502955198287964,Hard,100.0,92.6509186351706
12,Korean-Easy,10.76306438446045,0.9129352569580078,Easy,99.73753280839895,66.66666666666666
650,Korean-Hard,10.762996673583984,-0.668556272983551,Hard,99.47506561679789,36.22047244094488
665,Korean-Hard,9.068446159362793,-0.02794945240020752,Hard,99.21259842519686,50.39370078740157
725,Korean-Hard,8.693968772888184,1.1244089603424072,Hard,98.9501312335958,69.29133858267717
138,Korean-Easy,8.598652839660645,0.20820748805999756,Easy,98.68766404199475,52.493438320209975
273,Korean-Easy,8.519338607788086,-3.5849177837371826,Easy,98.4251968503937,9.186351706036746
191,Korean-Easy,7.814577102661133,3.3031582832336426,Easy,98.16272965879264,91.60104986876641
734,Korean-Hard,7.63599967956543,3.71370005607605,Hard,97.9002624671916,93.7007874015748
145,Korean-Easy,7.241731643676758,8.481114387512207,Easy,97.63779527559055,99.47506561679789
271,Korean-Easy,7.217278957366943,7.095734119415283,Easy,97.3753280839895,98.9501312335958
13,Korean-Easy,7.172237396240234,0.37844568490982056,Easy,97.11286089238845,56.43044619422572
716,Korean-Hard,7.163913726806641,-0.11238539218902588,Hard,96.8503937007874,48.031496062992126
278,Korean-Easy,6.799107551574707,-0.4373258948326111,Easy,96.58792650918635,40.68241469816273
261,Korean-Easy,6.690845489501953,3.0817346572875977,Easy,96.3254593175853,90.5511811023622
270,Korean-Easy,6.56076192855835,-0.38264578580856323,Easy,96.06299212598425,41.732283464566926
274,Korean-Easy,6.525901794433594,2.4746344089508057,Easy,95.8005249343832,87.4015748031496
666,Korean-Hard,6.520017147064209,3.0164263248443604,Hard,95.53805774278216,90.02624671916011
696,Korean-Hard,6.174941539764404,-1.0238831043243408,Hard,95.2755905511811,31.496062992125985
200,Korean-Easy,5.91248083114624,-1.0570135116577148,Easy,95.01312335958005,30.183727034120732
681,Korean-Hard,5.844324588775635,2.1078062057495117,Hard,94.750656167979,82.93963254593176
101,Korean-Easy,5.686429500579834,1.7311813831329346,Easy,94.48818897637796,81.10236220472441
