model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,3pl_regular,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,3pl_regular_rank
qwen3_5_27b,0.6490727532097005,2103,0.7802626,0.29511678,0.73833317,-0.121943936,1,1,2,1
claude_haiku_4_5,0.6457441749881122,2103,0.7624816,0.28053463,0.59653044,-0.37044895,2,2,3,5
qwen3_5_9b,0.6153114598193058,2103,0.60507107,0.1498453,0.59558135,-0.31360063,3,3,4,3
mistral_8b,0.5915157292659676,2098,0.48319635,0.050385773,0.2984721,-0.7569553,4,4,6,6
mistral_14b,0.5885741718674988,2083,0.4704926,0.038225293,0.2473984,-0.8039331,5,5,7,7
mistral_3b,0.5541932319764591,2039,0.3058237,-0.10222155,0.03254596,-1.4533601,6,6,8,8
qwen3_5_4b,0.5240133143128863,2103,0.14850184,-0.22372198,0.8178639,-0.12386723,7,7,1,2
qwen3_5_2b,0.52,2100,0.12990038,-0.23980677,0.56682175,-0.3319734,8,8,5,4
qwen3_5_0_8b,0.5178316690442225,2103,0.11952036,-0.24835753,-0.16402128,-2.8065526,9,9,9,9
