model,factor_1,factor_2
claude_haiku_4_5,-0.87361455,4.36766
mistral_3b,1.0929111,0.293758
mistral_8b,1.8318405,1.5790651
mistral_14b,0.6181577,0.89681613
qwen3_5_0_8b,5.5972514,-2.4388194
qwen3_5_2b,3.925415,-0.672683
qwen3_5_4b,7.998559,0.2567625
qwen3_5_9b,6.9002686,1.2947483
qwen3_5_27b,4.301741,9.733709
