model,factor_1
claudehaiku4520251001,3.421828
claudeopus47,9.601372
claudesonnet46,10.463594
ministral3b,0.35479492
ministral8b,0.73661035
mistral14b,1.195496
qwen3508b,-1.536767
qwen3527b,1.0253817
qwen352b,-0.12298658
qwen354b,0.5239046
qwen359b,0.56945044
