domain,role,selected_k,selection_metric
kudge,solver,2,in_sample_loss
kudge,judge,2,in_sample_loss
mmlu,solver,2,in_sample_loss
mmlu,judge,2,in_sample_loss
safety,solver,2,in_sample_loss
safety,judge,2,in_sample_loss
code,solver,2,in_sample_loss
code,judge,2,in_sample_loss
