difficulty_bin,judge_model,judge_score_mean,n_prompts
1,claude_haiku_4_5,0.08333333333333333,12
1,claude_sonnet_4_6,0.5,12
1,ministral_3_14b_instruct_2512_bf16,0.5,12
1,ministral_3_3b_instruct_2512_bf16,0.08333333333333333,12
1,ministral_3_8b_instruct_2512_bf16,0.6041666666666666,12
1,qwen3_5_0_8b,0.0,12
1,qwen3_5_27b,0.625,12
1,qwen3_5_2b,0.0,12
1,qwen3_5_4b,0.375,12
1,qwen3_5_9b,0.0625,12
2,claude_haiku_4_5,0.4166666666666667,12
2,claude_sonnet_4_6,0.7777777777777778,9
2,ministral_3_14b_instruct_2512_bf16,0.7083333333333334,12
2,ministral_3_3b_instruct_2512_bf16,0.125,12
2,ministral_3_8b_instruct_2512_bf16,0.4791666666666667,12
2,qwen3_5_0_8b,0.0,12
2,qwen3_5_27b,0.7083333333333334,12
2,qwen3_5_2b,0.0,12
2,qwen3_5_4b,0.4375,12
2,qwen3_5_9b,0.1875,12
3,claude_haiku_4_5,0.2727272727272727,11
3,claude_sonnet_4_6,0.6363636363636364,11
3,ministral_3_14b_instruct_2512_bf16,0.5227272727272727,11
3,ministral_3_3b_instruct_2512_bf16,0.06818181818181818,11
3,ministral_3_8b_instruct_2512_bf16,0.6136363636363636,11
3,qwen3_5_0_8b,0.0,11
3,qwen3_5_27b,0.9090909090909091,11
3,qwen3_5_2b,0.0,11
3,qwen3_5_4b,0.36363636363636365,11
3,qwen3_5_9b,0.22727272727272727,11
4,claude_haiku_4_5,0.3333333333333333,12
4,claude_sonnet_4_6,0.6458333333333334,12
4,ministral_3_14b_instruct_2512_bf16,0.3958333333333333,12
4,ministral_3_3b_instruct_2512_bf16,0.0625,12
4,ministral_3_8b_instruct_2512_bf16,0.5833333333333334,12
4,qwen3_5_0_8b,0.0,12
4,qwen3_5_27b,0.7291666666666666,12
4,qwen3_5_2b,0.0,12
4,qwen3_5_4b,0.3958333333333333,12
4,qwen3_5_9b,0.2916666666666667,12
5,claude_haiku_4_5,0.4166666666666667,12
5,claude_sonnet_4_6,0.6363636363636364,11
5,ministral_3_14b_instruct_2512_bf16,0.4375,12
5,ministral_3_3b_instruct_2512_bf16,0.14583333333333334,12
5,ministral_3_8b_instruct_2512_bf16,0.5208333333333334,12
5,qwen3_5_0_8b,0.0,12
5,qwen3_5_27b,0.8333333333333334,12
5,qwen3_5_2b,0.041666666666666664,12
5,qwen3_5_4b,0.4583333333333333,12
5,qwen3_5_9b,0.22916666666666666,12
6,claude_haiku_4_5,0.2727272727272727,11
6,claude_sonnet_4_6,0.7272727272727273,11
6,ministral_3_14b_instruct_2512_bf16,0.4318181818181818,11
6,ministral_3_3b_instruct_2512_bf16,0.09090909090909091,11
6,ministral_3_8b_instruct_2512_bf16,0.6136363636363636,11
6,qwen3_5_0_8b,0.0,11
6,qwen3_5_27b,0.7272727272727273,11
6,qwen3_5_2b,0.0,11
6,qwen3_5_4b,0.5454545454545454,11
6,qwen3_5_9b,0.06818181818181818,11
7,claude_haiku_4_5,0.5,12
7,claude_sonnet_4_6,0.7272727272727273,11
7,ministral_3_14b_instruct_2512_bf16,0.5625,12
7,ministral_3_3b_instruct_2512_bf16,0.0,12
7,ministral_3_8b_instruct_2512_bf16,0.5833333333333334,12
7,qwen3_5_0_8b,0.0,12
7,qwen3_5_27b,0.6875,12
7,qwen3_5_2b,0.0,12
7,qwen3_5_4b,0.5208333333333334,12
7,qwen3_5_9b,0.041666666666666664,12
8,claude_haiku_4_5,0.5454545454545454,11
8,claude_sonnet_4_6,0.9,10
8,ministral_3_14b_instruct_2512_bf16,0.5909090909090909,11
8,ministral_3_3b_instruct_2512_bf16,0.11363636363636363,11
8,ministral_3_8b_instruct_2512_bf16,0.6590909090909091,11
8,qwen3_5_0_8b,0.0,11
8,qwen3_5_27b,0.9545454545454546,11
8,qwen3_5_2b,0.0,11
8,qwen3_5_4b,0.7045454545454546,11
8,qwen3_5_9b,0.38636363636363635,11
9,claude_haiku_4_5,0.5,12
9,claude_sonnet_4_6,0.75,12
9,ministral_3_14b_instruct_2512_bf16,0.7916666666666666,12
9,ministral_3_3b_instruct_2512_bf16,0.1875,12
9,ministral_3_8b_instruct_2512_bf16,0.6041666666666666,12
9,qwen3_5_0_8b,0.0,12
9,qwen3_5_27b,0.8125,12
9,qwen3_5_2b,0.041666666666666664,12
9,qwen3_5_4b,0.5833333333333334,12
9,qwen3_5_9b,0.4375,12
10,claude_haiku_4_5,0.4166666666666667,12
10,claude_sonnet_4_6,0.5454545454545454,11
10,ministral_3_14b_instruct_2512_bf16,0.625,12
10,ministral_3_3b_instruct_2512_bf16,0.10416666666666667,12
10,ministral_3_8b_instruct_2512_bf16,0.5,12
10,qwen3_5_0_8b,0.0,12
10,qwen3_5_27b,0.875,12
10,qwen3_5_2b,0.1875,12
10,qwen3_5_4b,0.4166666666666667,12
10,qwen3_5_9b,0.0,12
