model,factor_1,factor_2
claudehaiku4520251001,-0.26070493,-2.248905
claudeopus47,-0.94255984,-11.499932
claudesonnet46,0.105308294,-6.413364
ministral14b,0.28967184,-0.8367083
ministral3b,-0.25577223,-0.5231438
ministral8b,0.067463584,-0.4798194
qwen3508b,-0.1943666,1.0714921
qwen3527b,-14.92534,-2.5650454
qwen352b,-0.7315134,-0.24970107
qwen354b,-1.3492819,0.24892157
qwen359b,-2.680875,-0.23055929
