model,factor_1
claudehaiku4520251001,3.800064
claudeopus47,7.3872023
claudesonnet46,14.048001
ministral14b,1.680319
ministral3b,1.1218876
ministral8b,1.3182825
qwen3508b,-0.23306026
qwen3527b,0.06044279
qwen352b,0.5968736
qwen354b,0.11779507
qwen359b,0.2023766
