model,n,overall_accuracy,A,B,pred_blank,acc_fwd,acc_bwd,acc_gold_A,acc_gold_B
qwen3_5_27b,2103,0.6490727532097005,0.2572515454113172,0.7427484545886829,0.0,0.4080298786181139,0.8992248062015504,0.4080298786181139,0.8992248062015504
claude_haiku_4_5,2103,0.6457441749881122,0.4526866381359962,0.5473133618640038,0.0,0.5966386554621849,0.6967054263565892,0.5966386554621849,0.6967054263565892
qwen3_5_9b,2103,0.6153114598193058,0.29481692819781263,0.7051830718021873,0.0,0.4117647058823529,0.8265503875968992,0.4117647058823529,0.8265503875968992
mistral_8b,2103,0.5877318116975749,0.6937708036138849,0.30385164051355207,0.0023775558725630053,0.776844070961718,0.39147286821705424,0.776844070961718,0.39147286821705424
mistral_14b,2103,0.5734664764621968,0.7013789824060865,0.2891107941036614,0.009510223490252021,0.7703081232492998,0.3691860465116279,0.7703081232492998,0.3691860465116279
qwen3_5_4b,2103,0.5240133143128863,0.07132667617689016,0.9286733238231099,0.0,0.10270774976657329,0.9612403100775194,0.10270774976657329,0.9612403100775194
qwen3_5_0_8b,2103,0.5178316690442225,0.9438896814075131,0.05611031859248693,0.0,0.9533146591970122,0.06589147286821706,0.9533146591970122,0.06589147286821706
qwen3_5_2b,2103,0.5178316690442225,0.2239657631954351,0.7746077032810271,0.0014265335235378032,0.24649859943977592,0.7994186046511628,0.24649859943977592,0.7994186046511628
mistral_3b,2103,0.5068949120304327,0.8559201141226819,0.11364717070851164,0.030432715168806468,0.8711484593837535,0.12887596899224807,0.8711484593837535,0.12887596899224807
