model,factor_1,factor_2
claudehaiku4520251001,-0.7910071,-2.7783077
claudeopus47,0.21303368,-9.096552
claudesonnet46,0.02041781,-6.69555
ministral3b,-0.253953,-0.32243764
ministral8b,-1.4631389,-0.6058388
mistral14b,-0.7940743,-0.9591518
qwen3508b,-0.93269926,2.9230163
qwen3527b,-1.1032789,-1.5167041
qwen352b,0.141897,0.26345512
qwen354b,-1.3851165,-0.3040464
qwen359b,-8.060389,-0.97265905
