model,mean_score,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank,1pl_regular_se,1pl_regular_lo,1pl_regular_hi,2pl_regular_se,2pl_regular_lo,2pl_regular_hi,3pl_regular_se,3pl_regular_lo,3pl_regular_hi
qwen3_5_27b,0.7841880341880342,117,4.410949,3.3484454,0.3464039,1.1609712,0.42481786,1.1626039,1,1,1,1,1,1,0.39681196,3.6331978,5.1887007,0.07100875,0.20722674,0.48558104,0.052692406,0.32154074,0.528095
claude_sonnet_4_6,0.6795454545454546,110,2.8264422,2.6345963,-0.006917894,0.8122127,0.07509281,0.81736135,2,2,2,2,2,2,0.31726083,2.204611,3.4482734,0.047561485,-0.1001384,0.086302616,0.0058861934,0.06355587,0.08662975
ministral_3_14b_instruct_2512_bf16,0.5576923076923077,117,0.2755527,1.4204276,-0.44541168,0.45207226,-0.091256596,0.44375232,3,3,3,4,4,3,0.5798225,-0.8608994,1.4120047,0.08551022,-0.6130117,-0.27781165,0.09507135,-0.27759644,0.09508326
ministral_3_8b_instruct_2512_bf16,0.5747863247863247,117,-0.02889824,1.1718524,-0.5159537,0.48143172,-0.08056779,0.4268129,4,4,4,3,3,4,0.30964237,-0.6357973,0.57800084,0.044488467,-0.60315114,-0.42875633,0.0058256676,-0.091986105,-0.06914948
qwen3_5_4b,0.47863247863247865,117,-2.0116527,-0.17308354,-0.79925454,0.18720989,-0.20184663,0.14643046,5,5,5,5,5,5,0.42806524,-2.8506606,-1.1726449,0.1338384,-1.0615778,-0.5369313,0.09584803,-0.38970876,-0.013984486
qwen3_5_9b,0.19230769230769232,117,-5.020042,-2.612061,-1.2638775,-0.75518346,-1.9528894,-0.7668948,6,7,6,6,7,6,0.7354155,-6.4614563,-3.5786276,0.13240142,-1.5233843,-1.0043707,0.8819978,-3.6816053,-0.22417367
ministral_3_3b_instruct_2512_bf16,0.09829059829059829,117,-6.287575,-2.4260638,-1.3568777,-1.0388662,-1.3055284,-1.0066352,7,6,7,7,6,7,0.279288,-6.834979,-5.7401705,0.03964846,-1.4345887,-1.2791667,0.026981484,-1.3584121,-1.2526447
qwen3_5_2b,0.027777777777777776,117,-7.052838,-3.364113,-1.5371902,-1.2998481,-2.8616767,-1.2234309,8,8,8,8,8,8,0.4120867,-7.860528,-6.2451477,0.06772837,-1.6699378,-1.4044425,0.45308897,-3.749731,-1.9736223
