difficulty_bin,judge_model,judge_score_mean,n_items
1,claude_haiku_4_5,0.6936974789915966,68
1,mistral_14b,0.5724789915966387,68
1,mistral_3b,0.5536602700781805,67
1,mistral_8b,0.6245798319327731,68
1,qwen3_5_0_8b,0.4761554621848739,68
1,qwen3_5_27b,0.7272759103641456,68
1,qwen3_5_2b,0.5385504201680673,68
1,qwen3_5_4b,0.6133053221288515,68
1,qwen3_5_9b,0.6998249299719888,68
2,claude_haiku_4_5,0.6293067226890756,68
2,mistral_14b,0.5460554371002133,67
2,mistral_3b,0.5545787545787545,65
2,mistral_8b,0.5909663865546219,68
2,qwen3_5_0_8b,0.5242296918767506,68
2,qwen3_5_27b,0.6639005602240896,68
2,qwen3_5_2b,0.5100840336134453,68
2,qwen3_5_4b,0.5934173669467787,68
2,qwen3_5_9b,0.6511554621848739,68
3,claude_haiku_4_5,0.6389125799573561,67
3,mistral_14b,0.5358225108225109,66
3,mistral_3b,0.5564102564102563,65
3,mistral_8b,0.5678749111584933,67
3,qwen3_5_0_8b,0.5196517412935324,67
3,qwen3_5_27b,0.6712153518123667,67
3,qwen3_5_2b,0.5211442786069651,67
3,qwen3_5_4b,0.476226012793177,67
3,qwen3_5_9b,0.6091684434968018,67
4,claude_haiku_4_5,0.6282563025210084,68
4,mistral_14b,0.6529850746268657,67
4,mistral_3b,0.5647832267235252,67
4,mistral_8b,0.6748599439775911,68
4,qwen3_5_0_8b,0.5144257703081232,68
4,qwen3_5_27b,0.6845588235294118,68
4,qwen3_5_2b,0.5702731092436975,68
4,qwen3_5_4b,0.5009103641456583,68
4,qwen3_5_9b,0.671498599439776,68
5,claude_haiku_4_5,0.6792821606254442,67
5,mistral_14b,0.6226911976911977,66
5,mistral_3b,0.5881307746979388,67
5,mistral_8b,0.6254797441364606,67
5,qwen3_5_0_8b,0.5061478322672353,67
5,qwen3_5_27b,0.7176616915422885,67
5,qwen3_5_2b,0.5547974413646055,67
5,qwen3_5_4b,0.5598081023454158,67
5,qwen3_5_9b,0.6458422174840085,67
6,claude_haiku_4_5,0.7551820728291316,68
6,mistral_14b,0.6157913165266107,68
6,mistral_3b,0.569047619047619,68
6,mistral_8b,0.6575980392156863,68
6,qwen3_5_0_8b,0.5283613445378151,68
6,qwen3_5_27b,0.7206582633053221,68
6,qwen3_5_2b,0.5061478322672353,67
6,qwen3_5_4b,0.5718837535014005,68
6,qwen3_5_9b,0.6830532212885154,68
7,claude_haiku_4_5,0.6568941009239516,67
7,mistral_14b,0.5828713574982232,67
7,mistral_3b,0.539587775408671,67
7,mistral_8b,0.5242359630419332,67
7,qwen3_5_0_8b,0.549182658137882,67
7,qwen3_5_27b,0.6587420042643923,67
7,qwen3_5_2b,0.5301705756929638,67
7,qwen3_5_4b,0.5124378109452736,67
7,qwen3_5_9b,0.6269012082444918,67
8,claude_haiku_4_5,0.636204481792717,68
8,mistral_14b,0.5604832977967306,67
8,mistral_3b,0.5278251599147121,67
8,mistral_8b,0.5405112044817928,68
8,qwen3_5_0_8b,0.48298319327731093,68
8,qwen3_5_27b,0.6647058823529413,68
8,qwen3_5_2b,0.5211134453781512,68
8,qwen3_5_4b,0.5329481792717087,68
8,qwen3_5_9b,0.6117997198879552,68
9,claude_haiku_4_5,0.6927149964463398,67
9,mistral_14b,0.5856076759061833,67
9,mistral_3b,0.5589826839826839,66
9,mistral_8b,0.5841151385927505,67
9,qwen3_5_0_8b,0.5226723525230987,67
9,qwen3_5_27b,0.6951314854299929,67
9,qwen3_5_2b,0.5169154228855721,67
9,qwen3_5_4b,0.5359275053304904,67
9,qwen3_5_9b,0.6800639658848614,67
10,claude_haiku_4_5,0.6561624649859944,68
10,mistral_14b,0.6559873949579832,68
10,mistral_3b,0.5705046197583511,67
10,mistral_8b,0.6099089635854341,68
10,qwen3_5_0_8b,0.5257002801120448,68
10,qwen3_5_27b,0.6945028011204482,68
10,qwen3_5_2b,0.45091036414565827,68
10,qwen3_5_4b,0.5560574229691877,68
10,qwen3_5_9b,0.6308823529411764,68
