solver_item_id,solver_subset,solver_difficulty_centered,judge_difficulty_centered,kudge_split,solver_difficulty_percentile,judge_difficulty_percentile
705,Korean-Hard,10.259074211120605,-0.016435936093330383,Hard,100.0,49.08136482939632
661,Korean-Hard,9.907615661621094,1.1858881711959839,Hard,99.73753280839895,79.26509186351706
649,Korean-Hard,9.385315895080566,0.24907922744750977,Hard,99.47506561679789,58.26771653543307
718,Korean-Hard,8.952495574951172,-1.3495612144470215,Hard,99.21259842519686,19.160104986876643
8,Korean-Easy,8.862448692321777,0.8633727431297302,Easy,98.9501312335958,74.2782152230971
725,Korean-Hard,8.521648406982422,1.0904405117034912,Hard,98.68766404199475,76.64041994750657
731,Korean-Hard,8.072809219360352,0.06591189652681351,Hard,98.4251968503937,52.23097112860893
131,Korean-Easy,8.068641662597656,1.893542766571045,Easy,98.16272965879264,88.9763779527559
215,Korean-Easy,7.8526153564453125,0.8338418006896973,Easy,97.9002624671916,73.75328083989501
185,Korean-Easy,7.485238552093506,-1.6760061979293823,Easy,97.63779527559055,12.335958005249344
684,Korean-Hard,7.045292377471924,-0.9558759927749634,Hard,97.3753280839895,28.346456692913385
734,Korean-Hard,7.027666091918945,-0.061574406921863556,Hard,97.11286089238845,48.29396325459317
656,Korean-Hard,6.22661828994751,-0.5135815143585205,Hard,96.8503937007874,36.48293963254593
679,Korean-Hard,6.1523919105529785,2.626533269882202,Hard,96.58792650918635,92.91338582677166
261,Korean-Easy,6.057108402252197,1.6082152128219604,Easy,96.3254593175853,85.56430446194226
700,Korean-Hard,6.046175956726074,0.12182799726724625,Hard,96.06299212598425,54.330708661417326
55,Korean-Easy,5.567379474639893,4.506300449371338,Easy,95.8005249343832,96.3254593175853
716,Korean-Hard,5.503572940826416,0.13788244128227234,Hard,95.53805774278216,55.118110236220474
701,Korean-Hard,5.394952297210693,2.9884192943573,Hard,95.2755905511811,93.96325459317585
669,Korean-Hard,5.250733852386475,1.6056504249572754,Hard,95.01312335958005,85.30183727034121
237,Korean-Easy,5.146988391876221,2.325438976287842,Easy,94.750656167979,90.81364829396325
200,Korean-Easy,4.916394233703613,-1.742497205734253,Easy,94.48818897637796,12.073490813648293
670,Korean-Hard,4.660154819488525,-0.04109477996826172,Hard,94.22572178477691,48.55643044619423
682,Korean-Hard,4.629930019378662,-1.3211756944656372,Hard,93.96325459317585,20.99737532808399
192,Korean-Easy,4.545247554779053,1.1756744384765625,Easy,93.7007874015748,77.95275590551181
108,Korean-Easy,4.485206127166748,0.5463396310806274,Easy,93.43832020997375,64.56692913385827
665,Korean-Hard,4.47678804397583,1.1759271621704102,Hard,93.1758530183727,78.21522309711287
706,Korean-Hard,4.444508075714111,0.5465440154075623,Hard,92.91338582677166,65.09186351706036
113,Korean-Easy,4.335525989532471,-1.8249338865280151,Easy,92.6509186351706,10.498687664041995
101,Korean-Easy,4.296661853790283,1.557768702507019,Easy,92.38845144356955,84.7769028871391
91,Korean-Easy,4.265169620513916,2.996629476547241,Easy,92.1259842519685,94.48818897637796
250,Korean-Easy,4.259430408477783,0.6347533464431763,Easy,91.86351706036746,67.97900262467192
105,Korean-Easy,4.238212585449219,0.20449012517929077,Easy,91.60104986876641,56.95538057742782
681,Korean-Hard,4.186051368713379,2.5732412338256836,Hard,91.33858267716536,92.6509186351706
33,Korean-Easy,4.178772449493408,0.31852614879608154,Easy,91.0761154855643,60.892388451443566
271,Korean-Easy,4.027942180633545,0.449945330619812,Easy,90.81364829396325,62.99212598425197
278,Korean-Easy,3.9331581592559814,-0.3675030469894409,Easy,90.5511811023622,38.582677165354326
14,Korean-Easy,3.9265382289886475,-0.7996821403503418,Easy,90.28871391076116,31.496062992125985
707,Korean-Hard,3.849601984024048,-0.3588532507419586,Hard,90.02624671916011,39.37007874015748
279,Korean-Easy,3.751732587814331,-0.3005618155002594,Easy,89.76377952755905,40.15748031496063
647,Korean-Hard,3.7309019565582275,1.3245564699172974,Hard,89.501312335958,81.62729658792651
58,Korean-Easy,3.725402593612671,-5.745307922363281,Easy,89.23884514435696,1.0498687664041995
140,Korean-Easy,3.4730160236358643,-1.429598331451416,Easy,88.9763779527559,17.585301837270343
121,Korean-Easy,3.0983526706695557,10.399222373962402,Easy,88.71391076115486,100.0
650,Korean-Hard,2.6322689056396484,-1.7679636478424072,Hard,88.4514435695538,11.811023622047244
666,Korean-Hard,2.631211042404175,2.349334239959717,Hard,88.18897637795276,91.0761154855643
12,Korean-Easy,2.6305556297302246,-1.6185545921325684,Easy,87.92650918635171,12.860892388451445
184,Korean-Easy,2.6119437217712402,-0.28945156931877136,Easy,87.66404199475065,41.732283464566926
729,Korean-Hard,2.568756580352783,4.991965293884277,Hard,87.4015748031496,97.11286089238845
27,Korean-Easy,2.461822271347046,-1.3059414625167847,Easy,87.13910761154857,21.784776902887142
148,Korean-Easy,2.421022415161133,-0.9437055587768555,Easy,86.8766404199475,28.608923884514436
742,Korean-Hard,2.389843463897705,0.373003214597702,Hard,86.61417322834646,61.679790026246714
720,Korean-Hard,2.3789010047912598,0.15757104754447937,Hard,86.3517060367454,55.90551181102362
691,Korean-Hard,2.377744436264038,0.46047019958496094,Hard,86.08923884514435,63.25459317585301
713,Korean-Hard,2.323484182357788,-1.2287652492523193,Hard,85.8267716535433,23.88451443569554
693,Korean-Hard,2.3232171535491943,-0.0004871562123298645,Hard,85.56430446194226,49.343832020997375
138,Korean-Easy,2.233027935028076,-1.2178728580474854,Easy,85.30183727034121,24.146981627296586
173,Korean-Easy,2.227848529815674,0.9044206142425537,Easy,85.03937007874016,75.06561679790026
270,Korean-Easy,2.1926429271698,-2.101224660873413,Easy,84.7769028871391,9.711286089238845
